"No.","Time","Source","Destination","Protocol","Length","Total Length","Source Port","Destination Port","DestinationMacAddress","SourceMacAddress"
"102","69.249412","203.132.18.217","192.168.1.93","TCP","60","40","443","49408","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"103","70.072365","192.168.1.93","185.38.21.27","TCP","54","40","49428","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"104","70.090745","185.38.21.27","192.168.1.93","TCP","60","40","443","49428","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"105","71.132555","192.168.1.93","213.121.31.50","TCP","54","40","49432","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"106","71.141269","213.121.31.50","192.168.1.93","TCP","66","52","443","49432","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"107","71.732731","192.168.1.93","213.121.31.50","TCP","54","40","49431","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"108","71.741701","213.121.31.50","192.168.1.93","TCP","66","52","443","49431","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"109","72.235938","192.168.1.93","104.95.180.219","TCP","54","40","49436","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"110","72.235939","192.168.1.93","104.95.180.219","TCP","54","40","49435","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"111","72.235939","192.168.1.93","104.95.180.219","TCP","54","40","49434","443","78:65:59:a4:64:39","c4:b3:01:d8:fb:ff"
"112","72.247378","104.95.180.219","192.168.1.93","TCP","66","52","443","49435","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"113","72.247386","104.95.180.219","192.168.1.93","TCP","66","52","443","49436","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"114","72.248221","104.95.180.219","192.168.1.93","TCP","66","52","443","49434","c4:b3:01:d8:fb:ff","78:65:59:a4:64:39"
"117","73.437824","192.168.1.79","192.168.1.93","TCP","66","52","63050","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"118","73.437831","192.168.1.79","192.168.1.93","TCP","66","52","63051","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"119","73.437916","192.168.1.93","192.168.1.79","TCP","54","40","80","63050","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"120","73.437916","192.168.1.93","192.168.1.79","TCP","54","40","80","63051","b4:2e:99:d0:fa:1a","c4:b3:01:d8:fb:ff"
"121","73.438761","192.168.1.79","192.168.1.93","TCP","66","52","63052","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"122","73.438768","192.168.1.79","192.168.1.93","TCP","66","52","63053","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"123","73.438769","192.168.1.79","192.168.1.93","TCP","66","52","63054","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"124","73.438770","192.168.1.79","192.168.1.93","TCP","66","52","63055","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"125","73.438771","192.168.1.79","192.168.1.93","TCP","66","52","63056","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"126","73.438775","192.168.1.79","192.168.1.93","TCP","66","52","63057","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"127","73.438777","192.168.1.79","192.168.1.93","TCP","66","52","63058","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"128","73.438778","192.168.1.79","192.168.1.93","TCP","66","52","63059","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"129","73.438779","192.168.1.79","192.168.1.93","TCP","66","52","63060","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"130","73.438780","192.168.1.79","192.168.1.93","TCP","66","52","63061","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"131","73.438781","192.168.1.79","192.168.1.93","TCP","66","52","63062","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"132","73.438782","192.168.1.79","192.168.1.93","TCP","66","52","63063","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"133","73.438783","192.168.1.79","192.168.1.93","TCP","66","52","63064","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"134","73.438784","192.168.1.79","192.168.1.93","TCP","66","52","63065","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"135","73.438785","192.168.1.79","192.168.1.93","TCP","66","52","63066","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"136","73.438786","192.168.1.79","192.168.1.93","TCP","66","52","63067","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"137","73.438787","192.168.1.79","192.168.1.93","TCP","66","52","63068","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"138","73.438788","192.168.1.79","192.168.1.93","TCP","66","52","63069","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"139","73.438789","192.168.1.79","192.168.1.93","TCP","66","52","63070","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"140","73.438790","192.168.1.79","192.168.1.93","TCP","66","52","63071","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"141","73.438791","192.168.1.79","192.168.1.93","TCP","66","52","63072","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"142","73.438792","192.168.1.79","192.168.1.93","TCP","66","52","63073","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"143","73.438794","192.168.1.79","192.168.1.93","TCP","66","52","63074","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"144","73.438795","192.168.1.79","192.168.1.93","TCP","66","52","63075","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"145","73.438796","192.168.1.79","192.168.1.93","TCP","66","52","63076","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"146","73.438797","192.168.1.79","192.168.1.93","TCP","66","52","63077","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"147","73.438798","192.168.1.79","192.168.1.93","TCP","66","52","63078","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"148","73.438800","192.168.1.79","192.168.1.93","TCP","66","52","63079","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"149","73.438801","192.168.1.79","192.168.1.93","TCP","66","52","63080","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"150","73.438802","192.168.1.79","192.168.1.93","TCP","66","52","63081","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"151","73.438803","192.168.1.79","192.168.1.93","TCP","66","52","63082","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"152","73.438805","192.168.1.79","192.168.1.93","TCP","66","52","63083","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"153","73.438807","192.168.1.79","192.168.1.93","TCP","66","52","63084","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"154","73.438809","192.168.1.79","192.168.1.93","TCP","66","52","63085","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"155","73.438814","192.168.1.79","192.168.1.93","TCP","66","52","63086","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"156","73.438815","192.168.1.79","192.168.1.93","TCP","66","52","63087","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"157","73.438817","192.168.1.79","192.168.1.93","TCP","66","52","63088","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"158","73.438819","192.168.1.79","192.168.1.93","TCP","66","52","63089","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"159","73.438821","192.168.1.79","192.168.1.93","TCP","66","52","63090","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"160","73.438822","192.168.1.79","192.168.1.93","TCP","66","52","63091","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"161","73.438823","192.168.1.79","192.168.1.93","TCP","66","52","63092","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"162","73.438824","192.168.1.79","192.168.1.93","TCP","66","52","63093","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"163","73.438825","192.168.1.79","192.168.1.93","TCP","66","52","63094","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"164","73.438826","192.168.1.79","192.168.1.93","TCP","66","52","63095","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"165","73.438828","192.168.1.79","192.168.1.93","TCP","66","52","63096","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"166","73.438829","192.168.1.79","192.168.1.93","TCP","66","52","63097","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"167","73.438830","192.168.1.79","192.168.1.93","TCP","66","52","63098","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
"168","73.438831","192.168.1.79","192.168.1.93","TCP","66","52","63099","80","c4:b3:01:d8:fb:ff","b4:2e:99:d0:fa:1a"
