Number,Time,Source,Destination,Protocol,Length,TotalLength,SourcePort,DestinationPort,DestinationMacAddress,SourceMacAddress,,PacketClassification
4220,209.832952,93.184.220.29,192.168.1.93,TCP,74,60,80,50364,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4221,209.833008,192.168.1.93,93.184.220.29,TCP,66,52,50364,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4222,209.835002,93.184.220.29,192.168.1.93,TCP,74,60,80,50365,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4223,209.835141,192.168.1.93,93.184.220.29,TCP,66,52,50365,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4224,209.844199,192.168.1.93,93.184.220.29,OCSP,496,482,50295,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4225,209.845306,192.168.1.93,93.184.220.29,OCSP,496,482,50364,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4226,209.848793,192.168.1.93,93.184.220.29,OCSP,496,482,50365,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4227,209.848852,192.168.1.93,93.184.220.29,TCP,78,64,50366,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4228,209.856342,93.184.220.29,192.168.1.93,TCP,66,52,80,50295,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4229,209.856348,93.184.220.29,192.168.1.93,TCP,66,52,80,50364,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4230,209.857031,93.184.220.29,192.168.1.93,OCSP,865,851,80,50364,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4231,209.857036,93.184.220.29,192.168.1.93,OCSP,805,791,80,50295,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4232,209.857086,192.168.1.93,93.184.220.29,TCP,66,52,50364,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4233,209.857146,192.168.1.93,93.184.220.29,TCP,66,52,50295,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4234,209.860878,93.184.220.29,192.168.1.93,TCP,74,60,80,50366,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4235,209.860882,93.184.220.29,192.168.1.93,TCP,66,52,80,50365,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4236,209.860954,192.168.1.93,93.184.220.29,TCP,66,52,50366,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4237,209.861175,93.184.220.29,192.168.1.93,OCSP,865,851,80,50365,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
